id,customer_id,merchant_id,status,created_at,updated_at
1260,248,1,shipped,2012-03-06 17:55:09 UTC,2012-03-06 17:55:09 UTC
882,170,1,shipped,2012-03-07 03:54:51 UTC,2012-03-07 03:54:51 UTC
2771,555,1,shipped,2012-03-07 03:56:23 UTC,2012-03-07 03:56:23 UTC
3843,787,1,shipped,2012-03-07 18:57:22 UTC,2012-03-07 18:57:22 UTC
490,104,1,shipped,2012-03-08 10:54:33 UTC,2012-03-08 10:54:33 UTC
3849,787,1,shipped,2012-03-08 15:57:22 UTC,2012-03-08 15:57:22 UTC
3424,703,1,shipped,2012-03-08 19:56:59 UTC,2012-03-08 19:56:59 UTC
1271,249,1,shipped,2012-03-09 09:55:10 UTC,2012-03-09 09:55:10 UTC
346,73,1,shipped,2012-03-09 16:54:26 UTC,2012-03-09 16:54:26 UTC
3833,785,1,shipped,2012-03-10 05:57:22 UTC,2012-03-10 05:57:22 UTC
976,190,1,shipped,2012-03-10 11:54:56 UTC,2012-03-10 11:54:56 UTC
484,103,1,shipped,2012-03-10 16:54:33 UTC,2012-03-10 16:54:33 UTC
418,87,1,shipped,2012-03-11 17:54:30 UTC,2012-03-11 17:54:30 UTC
2014,394,1,shipped,2012-03-11 21:55:45 UTC,2012-03-11 21:55:45 UTC
4469,911,1,shipped,2012-03-11 22:57:56 UTC,2012-03-11 22:57:56 UTC
2386,481,1,shipped,2012-03-12 02:56:04 UTC,2012-03-12 02:56:04 UTC
2710,543,1,shipped,2012-03-12 10:56:20 UTC,2012-03-12 10:56:20 UTC
3797,779,1,shipped,2012-03-13 03:57:20 UTC,2012-03-13 03:57:20 UTC
4493,917,1,shipped,2012-03-13 17:57:58 UTC,2012-03-13 17:57:58 UTC
2088,413,1,shipped,2012-03-14 00:55:49 UTC,2012-03-14 00:55:49 UTC
4594,941,1,shipped,2012-03-14 02:58:02 UTC,2012-03-14 02:58:02 UTC
1332,261,1,shipped,2012-03-14 03:55:12 UTC,2012-03-14 03:55:12 UTC
4051,820,1,shipped,2012-03-14 03:57:34 UTC,2012-03-14 03:57:34 UTC
2718,546,1,shipped,2012-03-14 13:56:20 UTC,2012-03-14 13:56:20 UTC
1625,312,1,shipped,2012-03-14 14:55:27 UTC,2012-03-14 14:55:27 UTC
3900,797,1,shipped,2012-03-14 23:57:25 UTC,2012-03-14 23:57:25 UTC
2369,476,1,shipped,2012-03-15 11:56:03 UTC,2012-03-15 11:56:03 UTC
3663,745,1,shipped,2012-03-15 14:57:12 UTC,2012-03-15 14:57:12 UTC
2956,593,1,shipped,2012-03-16 16:56:33 UTC,2012-03-16 16:56:33 UTC
2314,463,1,shipped,2012-03-17 03:56:01 UTC,2012-03-17 03:56:01 UTC
593,119,1,shipped,2012-03-17 12:54:38 UTC,2012-03-17 12:54:38 UTC
3363,688,1,shipped,2012-03-17 21:56:56 UTC,2012-03-17 21:56:56 UTC
1326,260,1,shipped,2012-03-18 05:55:12 UTC,2012-03-18 05:55:12 UTC
3758,769,1,shipped,2012-03-18 17:57:17 UTC,2012-03-18 17:57:17 UTC
1100,211,1,shipped,2012-03-18 18:55:01 UTC,2012-03-18 18:55:01 UTC
1338,262,1,shipped,2012-03-19 02:55:13 UTC,2012-03-19 02:55:13 UTC
3265,662,1,shipped,2012-03-19 03:56:51 UTC,2012-03-19 03:56:51 UTC
137,25,1,shipped,2012-03-19 18:54:16 UTC,2012-03-19 18:54:16 UTC
1640,317,1,shipped,2012-03-19 20:55:28 UTC,2012-03-19 20:55:28 UTC
1053,205,1,shipped,2012-03-20 21:54:59 UTC,2012-03-20 21:54:59 UTC
805,156,1,shipped,2012-03-20 23:54:48 UTC,2012-03-20 23:54:48 UTC
1007,197,1,shipped,2012-03-22 05:54:57 UTC,2012-03-22 05:54:57 UTC
